Giorno,Dichiarazione sostitutiva di certificazione: (Sicilia)
9/19/2020,1
9/20/2020,0
9/21/2020,4
9/22/2020,2
9/23/2020,1
9/24/2020,0
9/25/2020,1
9/26/2020,1
9/27/2020,0
9/28/2020,3
9/29/2020,2
9/30/2020,4
10/1/2020,2
10/2/2020,1
10/3/2020,2
10/4/2020,1
10/5/2020,1
10/6/2020,1
10/7/2020,0
10/8/2020,2
10/9/2020,3
10/10/2020,3
10/11/2020,0
10/12/2020,5
10/13/2020,3
10/14/2020,1
10/15/2020,4
10/16/2020,2
10/17/2020,1
10/18/2020,0
10/19/2020,3
10/20/2020,2
10/21/2020,1
10/22/2020,8
10/23/2020,2
10/24/2020,6
10/25/2020,16
10/26/2020,5
10/27/2020,4
10/28/2020,8
10/29/2020,4
10/30/2020,1
10/31/2020,1
11/1/2020,1
11/2/2020,7
11/3/2020,2
11/4/2020,31
11/5/2020,100
11/6/2020,50
11/7/2020,15
11/8/2020,12
11/9/2020,20
11/10/2020,19
11/11/2020,11
11/12/2020,13
11/13/2020,12
11/14/2020,6
11/15/2020,7
11/16/2020,9
11/17/2020,7
11/18/2020,6
11/19/2020,5
11/20/2020,10
11/21/2020,9
11/22/2020,1
11/23/2020,5
11/24/2020,4
11/25/2020,5
11/26/2020,7
11/27/2020,10
11/28/2020,7
11/29/2020,1
11/30/2020,5
12/1/2020,2
12/2/2020,4
12/3/2020,1
12/4/2020,2
12/5/2020,1
12/6/2020,2
12/7/2020,3
12/8/2020,1
12/9/2020,3
12/10/2020,1
12/11/2020,3
12/12/2020,1
12/13/2020,3
12/14/2020,2
12/15/2020,5
12/16/2020,4
12/17/2020,2
12/18/2020,6
12/19/2020,7
12/20/2020,8
12/21/2020,16
12/22/2020,28
12/23/2020,62
12/24/2020,72
12/25/2020,20
12/26/2020,18
12/27/2020,3
12/28/2020,4
12/29/2020,3
12/30/2020,7
12/31/2020,13
1/1/2021,3
1/2/2021,3
1/3/2021,4
1/4/2021,7
1/5/2021,6
1/6/2021,3
1/7/2021,4
1/8/2021,3
1/9/2021,5
1/10/2021,5
1/11/2021,7
1/12/2021,5
1/13/2021,7
1/14/2021,2
1/15/2021,3
1/16/2021,19
1/17/2021,11
1/18/2021,28
1/19/2021,10
1/20/2021,6
1/21/2021,1
1/22/2021,11
1/23/2021,3
1/24/2021,1
1/25/2021,12
1/26/2021,4
1/27/2021,3
1/28/2021,3
1/29/2021,1
1/30/2021,6
1/31/2021,1
2/1/2021,4
2/2/2021,1
2/3/2021,1
2/4/2021,1
2/5/2021,3
2/6/2021,1
2/7/2021,5
2/8/2021,4
2/9/2021,1
2/10/2021,4
2/11/2021,1
2/12/2021,2
2/13/2021,1
2/14/2021,1
2/15/2021,1
