Giorno,contatto positivo: (Sicilia)
10/1/2020,0
10/2/2020,0
10/3/2020,0
10/4/2020,28
10/5/2020,0
10/6/2020,0
10/7/2020,25
10/8/2020,0
10/9/2020,0
10/10/2020,0
10/11/2020,0
10/12/2020,24
10/13/2020,25
10/14/2020,0
10/15/2020,25
10/16/2020,27
10/17/2020,28
10/18/2020,0
10/19/2020,0
10/20/2020,0
10/21/2020,0
10/22/2020,26
10/23/2020,27
10/24/2020,0
10/25/2020,28
10/26/2020,24
10/27/2020,0
10/28/2020,25
10/29/2020,26
10/30/2020,0
10/31/2020,30
11/1/2020,0
11/2/2020,0
11/3/2020,0
11/4/2020,0
11/5/2020,0
11/6/2020,24
11/7/2020,0
11/8/2020,27
11/9/2020,72
11/10/2020,25
11/11/2020,0
11/12/2020,50
11/13/2020,100
11/14/2020,28
11/15/2020,28
11/16/2020,0
11/17/2020,24
11/18/2020,24
11/19/2020,0
11/20/2020,0
11/21/2020,0
11/22/2020,0
11/23/2020,0
11/24/2020,0
11/25/2020,0
11/26/2020,24
11/27/2020,0
11/28/2020,0
11/29/2020,0
11/30/2020,48
12/1/2020,0
12/2/2020,24
12/3/2020,0
12/4/2020,0
12/5/2020,0
12/6/2020,0
12/7/2020,0
12/8/2020,27
12/9/2020,23
12/10/2020,0
12/11/2020,0
12/12/2020,0
12/13/2020,54
12/14/2020,24
12/15/2020,0
12/16/2020,0
12/17/2020,25
12/18/2020,0
12/19/2020,28
12/20/2020,27
12/21/2020,0
12/22/2020,0
12/23/2020,0
12/24/2020,31
12/25/2020,0
12/26/2020,0
12/27/2020,26
12/28/2020,25
12/29/2020,0
12/30/2020,27
12/31/2020,0
1/1/2021,0
1/2/2021,0
1/3/2021,26
1/4/2021,0
1/5/2021,0
1/6/2021,0
1/7/2021,0
1/8/2021,0
1/9/2021,0
1/10/2021,0
1/11/2021,23
1/12/2021,0
1/13/2021,0
1/14/2021,24
1/15/2021,24
1/16/2021,0
1/17/2021,26
1/18/2021,0
1/19/2021,0
1/20/2021,23
1/21/2021,0
1/22/2021,0
1/23/2021,0
1/24/2021,0
1/25/2021,0
1/26/2021,0
1/27/2021,0
1/28/2021,0
1/29/2021,0
1/30/2021,0
1/31/2021,0
2/1/2021,25
2/2/2021,0
2/3/2021,0
2/4/2021,0
2/5/2021,0
2/6/2021,0
2/7/2021,27
2/8/2021,25
2/9/2021,0
2/10/2021,0
2/11/2021,0
2/12/2021,0
2/13/2021,0
2/14/2021,0
2/15/2021,0
